Code;Pilier;Indicateur;Unité détectée;Cible;Proposition (rapportage hebdomadaire);À confirmer;Remarque
S1;P1;Nombre de nouveaux cas confirmés;count;≤ 0.0;Somme de la semaine (total des 7 jours);X;Ou instantané « dernières 24 h » ? (exception évoquée par K. Gausi)
S2;P1;Nombre de nouveaux cas probables;count;≤ 0.0;Somme de la semaine (total des 7 jours);X;Ou instantané « dernières 24 h » ? (exception évoquée par K. Gausi)
S3;P1;Nombre cumulé de cas depuis le début de l'épidémie;count;—;État en fin de semaine;;Cumul depuis le début de l'épidémie — valeur au samedi
S4;P1;Nombre de nouveaux cas suspects;count;—;Somme de la semaine (total des 7 jours);X;Ou instantané « dernières 24 h » ? (exception évoquée par K. Gausi)
S5;P1;Nombre de nouvelles aires de santé touchées;count;—;Somme de la semaine (total des 7 jours);;
S6;P1;Pourcentage de nouveaux cas probables / confirmés précédemment inscrits sur les listes de contacts;percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
S7;P1;Pourcentage des cas confirmés/probables dont les contacts ont été repertoriés dans les 24 heures;percent;≥ 100.0;Valeur pour la semaine (%);;
S8;P1;Pourcentage de cas (des cas confirmés + probables) pour lesquels la recherche des contacts a été effectuée (21 jours);percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
S9;P1;Pourcentage de contacts suivis et vus avec succès au cours des 24 heures précédentes;percent;≥ 1.0;Valeur pour la semaine (%);X;Le libellé parle des « 24 heures précédentes » — moyenne sur la semaine ? · Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
S10;P1;Pourcentage de contacts perdus de vue;percent;≤ 0.0;Valeur pour la semaine (%);;
S11;P1;Pourcentage de contacts ayant terminé la période de suivi de 21 jours;percent;—;Valeur pour la semaine (%);;
S12;P1;Pourcentage de contacts actifs perdus de vue;percent;—;Valeur pour la semaine (%);;
S13;P1;Proportion des cas suspects parmi les contacts;percent;—;Valeur pour la semaine (%);;
S14;P1;Proportion des cas confirmés parmi les contacts;percent;≥ 100.0;Valeur pour la semaine (%);;
S15;P1;Taux de suivi de contacts;percent;≥ 90.0;Valeur pour la semaine (%);;
S16;P1;% des alertes vérifiées terminées dans les 24 heures (N: alertes verifies/alertes remontees);percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
S17;P1;Proportion d'alertes signalées par rapport aux prévisions (alertes attendues);percent;≥ 80.0;Valeur pour la semaine (%);;
S18;P1;Proportion d'alertes validées dans les 24 heures suivant leur notification (alertes repondant a la defn des cas/alertes nootifiées);percent;≥ 90.0;Valeur pour la semaine (%);;
S19;P1;Proportion cas suspects (d'alertes validees) investiguées dans les 24 heures suivant leur notification;percent;≥ 90.0;Valeur pour la semaine (%);;
S20;P1;Proportion d'alertes validées (évacuées vers le CTE);percent;≥ 100.0;Valeur pour la semaine (%);;
S21;P1;Proportion cas suspects (d'alertes validées) vivants isolés au CT/CTE normées;percent;≥ 100.0;Valeur pour la semaine (%);;
S22;P1;Proportion cas suspects vivants prelevés au CT/CTE normées dans les 24 hrs;percent;—;Valeur pour la semaine (%);;
S23;P1;Délai moyen entre l'apparition des symptomes et la détection (date de notification);days;≤ 4.0;Moyenne / médiane de la semaine;;
S24;P1;Proportion de rapports d'investigation avec resumés narratifs;percent;≥ 80.0;Valeur pour la semaine (%);;
S25;P1;Proportion de rapports de situation (sitreps) produits;percent;≥ 100.0;Valeur pour la semaine (%);;
PE1;P2;Pourcentage des voyageurs examinés aux PoE / PoC;percent;≥ 0.9;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
PE2;P2;Proportion des personnes sensibilisées au point d'entrée/point de contrôle;percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
PE3;P2;Nombre d'alertes detectées et signalées par les points d'entrée/point de contrôle au pilier surveillance de l'IMS MVE;count;≥ 80.0;Somme de la semaine (total des 7 jours);;
PE4;P2;Point d'entrée/point de contrôle ayant fonctionné sans interruption au cours des 7 derniers jours;count;≥ 1.0;État en fin de semaine;;Déjà formulé sur les 7 derniers jours — oui = 1 / non = 0 ?
PE5;P2;Nombre des contacts interceptés au point d'entrée/point de contrôle;count;—;Somme de la semaine (total des 7 jours);;
L1;P3;Taux de positivité (nombre de nouveaux cas confirmés positifs/nombre des tests effectués-nouveaux échantillons);percent;≤ 0.0;Valeur pour la semaine (%);;
L2;P3;Pourcentage des résultats de laboratoire disponibles pour tous les cas dans les 48 heures;percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
L3;P3;Proportion des décés dans la communauté ayant donné lieu à un test positif;percent;≥ 1.0;Valeur pour la semaine (%);;Cible écrite en fraction dans le formulaire (1 = 100 %) — à corriger en 0–100
L4;P3;Nombre d'ncidents biologiques signalés;count;≤ 0.0;Somme de la semaine (total des 7 jours);;
L5;P3;Taux de rupture de stock (réactifs/EPI);percent;≤ 5.0;Valeur pour la semaine (%);;
